time[s],data(t-1)[degree],data(t),data(t+1),Average
3760,140.4152,139.9268,139.9268,140.0896
3770,140.4152,140.4152,139.9268,140.2524
3780,140.4152,140.4152,140.4152,140.4152
3790,139.9268,140.4152,140.4152,140.2524
3800,140.9036,139.9268,140.4152,140.4152
3810,140.4152,140.9036,139.9268,140.4152
3820,140.9036,140.4152,140.9036,140.7408
3830,140.9036,140.9036,140.4152,140.7408
3840,140.9036,140.9036,140.9036,140.9036
3850,140.9036,140.9036,140.9036,140.9036
3860,140.9036,140.9036,140.9036,140.9036
3870,140.9036,140.9036,140.9036,140.9036
3880,141.392,140.9036,140.9036,141.0664
3890,140.9036,141.392,140.9036,141.0664
3900,141.392,140.9036,141.392,141.2292
3910,140.9036,141.392,140.9036,141.0664
3920,141.392,140.9036,141.392,141.2292
3930,141.392,141.392,140.9036,141.2292
3940,140.9036,141.392,141.392,141.2292
3950,141.8804,140.9036,141.392,141.392
3960,141.8804,141.8804,140.9036,141.5548
3970,141.8804,141.8804,141.8804,141.8804
3980,141.392,141.8804,141.8804,141.7176
3990,141.392,141.392,141.8804,141.5548
4000,141.8804,141.392,141.392,141.5548
4010,141.8804,141.8804,141.392,141.7176
4020,141.8804,141.8804,141.8804,141.8804
4030,141.8804,141.8804,141.8804,141.8804
4040,141.8804,141.8804,141.8804,141.8804
4050,141.8804,141.8804,141.8804,141.8804
4060,141.8804,141.8804,141.8804,141.8804
4070,142.3688,141.8804,141.8804,142.0432
4080,141.8804,142.3688,141.8804,142.0432
4090,142.3688,141.8804,142.3688,142.206
4100,142.3688,142.3688,141.8804,142.206
4110,142.3688,142.3688,142.3688,142.3688
4120,142.3688,142.3688,142.3688,142.3688
4130,142.8572,142.3688,142.3688,142.5316
4140,142.3688,142.8572,142.3688,142.5316
4150,142.8572,142.3688,142.8572,142.6944
4160,142.8572,142.8572,142.3688,142.6944
4170,142.8572,142.8572,142.8572,142.8572
4180,142.8572,142.8572,142.8572,142.8572
4190,143.3456,142.8572,142.8572,143.02
4200,142.8572,143.3456,142.8572,143.02
4210,142.8572,142.8572,143.3456,143.02
4220,142.8572,142.8572,142.8572,142.8572
4230,142.8572,142.8572,142.8572,142.8572
4240,143.3456,142.8572,142.8572,143.02
4250,143.3456,143.3456,142.8572,143.1828
4260,143.3456,143.3456,143.3456,143.3456
4270,143.3456,143.3456,143.3456,143.3456
4280,143.3456,143.3456,143.3456,143.3456
4290,143.3456,143.3456,143.3456,143.3456
4300,143.3456,143.3456,143.3456,143.3456
